freetime1,freetime2,freetime3,freetime4,freetime5,freetime6,freetime7,freetime8,freetime9,freetime10,freetime11,freetime12,freetime13,freetime14,freetime15,freetime16,freetime17,freetime18,freetime19,freetime20,freetime21,freetime22,freetime23,freetime24,freetime25,freetime26,freetime27,freetime28,freetime29,freetime30,freetime31,freetime32,freetime33,freetime34,freetime35
0h,0h,0h,0h,0h,0h,0h,9.25,5.25,30.7666666666667,33.0333333333333,29.0166666666667,15.3166666666667,0.816666666666667,17,10,14,12,15,13,7,0.544117647058823,0.525,2.19761904761905,2.75277777777778,1.93444444444444,1.17820512820513,0.116666666666667,1.15376709654587,0.822456798370094,3.27725167028388,2.22323398684649,2.39075988008683,1.69162403634551,0.126564286109939
1h,1h,1h,1h,1h,1h,1h,48.7666666666667,47.0166666666667,49.4833333333333,52.3,47.9833333333333,45.25,41.3333333333333,6,9,7,6,9,7,12,6.96666666666667,5.22407407407407,6.18541666666667,7.47142857142857,4.79833333333333,5.65625,3.44444444444444,6.35345487816581,4.57641228286046,5.80121386791332,8.19690950278368,3.85169074627472,9.81409311200536,4.48608585851478
2h,2h,2h,2h,2h,2h,2h,54.1,52.6833333333333,57.3166666666667,51.85,52.8,55.85,51.3666666666667,5,5,2,5,5,3,6,10.82,8.78055555555556,28.6583333333333,8.64166666666667,8.8,13.9625,7.33809523809524,14.5639604656304,9.11952372456824,12.1504515233888,7.95629555062461,7.82260968106055,8.1523386215245,6.68804014285059
3h,3h,3h,3h,3h,3h,3h,48.4166666666667,55.2833333333333,51.1833333333333,49.35,51.8166666666667,53.3166666666667,57.6666666666667,10,4,7,9,6,5,1,4.40151515151515,11.0566666666667,6.39791666666667,4.935,7.40238095238095,8.88611111111111,28.8333333333333,3.9538269404145,9.29606099377581,5.5826150035425,5.46468714159883,5.67907488367529,6.45750568173421,36.8166930737796
4h,4h,4h,4h,4h,4h,4h,37.0833333333333,37.9166666666667,32.1166666666667,31.7,37.1333333333333,32.45,0,20,19,24,21,21,21,0,1.76587301587302,1.89583333333333,1.28466666666667,1.44090909090909,1.68787878787879,1.475,0,2.63769404863034,2.59107710335983,0.605662324940104,1.3278929412041,1.18318445093123,0.500231427922598,0
5h,5h,5h,5h,5h,5h,5h,34.3833333333333,21.0833333333333,22.3,21.85,21.3,17.5,52,19,26,29,28,30,28,3,1.80964912280702,0.810897435897436,0.768965517241379,0.780357142857143,0.687096774193548,0.625,17.3333333333333,3.62527698298748,0.483527370423555,0.550788110274057,0.861929761055017,0.586115740014676,0.643014057536303,17.1820642919683
6h,6h,6h,6h,6h,6h,6h,44,13.0833333333333,15.6166666666667,21.2166666666667,19.4833333333333,14.7666666666667,42.7833333333333,8,16,20,19,18,16,11,5.5,0.769607843137255,0.743650793650794,1.06083333333333,1.02543859649123,0.922916666666667,3.56527777777778,5.53102361432513,0.735985622550677,0.736215476279348,0.976826150082695,0.932297183137871,0.47496101204516,4.12005110744346
7h,7h,7h,7h,7h,7h,7h,23.5166666666667,8.5,10.1,6.26666666666667,5.58333333333333,8.45,18.9,20,13,15,12,11,13,17,1.17583333333333,0.653846153846154,0.673333333333333,0.522222222222222,0.507575757575757,0.603571428571429,1.11176470588235,1.12331062239523,0.494560871724054,0.695957716285367,0.425828564483368,0.430010570694595,0.748878893459815,1.14904496433576
8h,8h,8h,8h,8h,8h,8h,28.9166666666667,7.78333333333333,6.58333333333333,6.66666666666667,3.45,2.48333333333333,40.2833333333333,17,12,12,13,7,6,12,1.70098039215686,0.648611111111111,0.548611111111111,0.512820512820513,0.492857142857143,0.413888888888889,3.35694444444444,1.86732197006014,0.541390761122645,0.551694283540787,0.353301482196066,0.455811968101486,0.409527731616508,2.69816116145768
9h,9h,9h,9h,9h,9h,9h,36.9,4.88333333333333,5.01666666666667,3.08333333333333,4.5,1.48333333333333,35.25,13,10,13,8,7,5,12,2.63571428571429,0.488333333333333,0.385897435897436,0.385416666666667,0.5625,0.296666666666667,2.9375,2.28370160929423,0.3986125629087,0.397902262906622,0.90914391530173,0.536430737847801,0.317630113321909,3.60197844765536
10h,10h,10h,10h,10h,10h,10h,39.1333333333333,4.81666666666667,1.83333333333333,3.2,2.6,1.2,27.9833333333333,11,4,6,7,8,5,15,3.26111111111111,1.20416666666667,0.305555555555556,0.457142857142857,0.325,0.24,1.74895833333333,3.72018337044887,0.665606796395145,0.15729189661499,0.386683086679272,0.351865775274498,0.140237893119751,1.31023702619595
11h,11h,11h,11h,11h,11h,11h,43.3666666666667,6.43333333333333,2.33333333333333,11.6166666666667,9.83333333333333,3.53333333333333,45.8833333333333,10,10,8,16,13,9,8,3.94242424242424,0.643333333333333,0.291666666666667,0.726041666666667,0.702380952380952,0.392592592592593,5.09814814814815,5.38644576504748,0.43469870365917,0.373635082136534,1.13527560285793,0.501103787757592,0.380433881603104,9.61050295121481
12h,12h,12h,12h,12h,12h,12h,31.1666666666667,10.5666666666667,0.916666666666667,13.2666666666667,8.55,7.85,32.9666666666667,12,17,5,16,13,13,11,2.3974358974359,0.621568627450981,0.183333333333333,0.829166666666667,0.657692307692308,0.603846153846154,2.74722222222222,4.87437957188668,0.656690056316798,0.116666666666667,0.904505184965586,0.60928826817213,0.483723685577421,5.04582952772838
13h,13h,13h,13h,13h,13h,13h,16.5333333333333,6.53333333333333,2.63333333333333,17.9833333333333,5.43333333333333,5.68333333333333,30.3166666666667,16,12,7,14,11,15,13,1.03333333333333,0.544444444444444,0.376190476190476,1.28452380952381,0.493939393939394,0.378888888888889,2.16547619047619,1.53352655787362,0.470457188626092,0.271289298716119,2.39319248465732,0.309952749738903,0.407541344025299,2.72629224660883
14h,14h,14h,14h,14h,14h,14h,30.55,2.36666666666667,8.05,32,2.66666666666667,5.38333333333333,18.05,14,11,12,13,3,14,12,2.18214285714286,0.215151515151515,0.670833333333333,2.46153846153846,0.888888888888889,0.38452380952381,1.50416666666667,3.32576361185722,0.169878150032857,0.554873950560036,3.19693418397035,0.510265000142446,0.387048015181794,3.44869412410207
15h,15h,15h,15h,15h,15h,15h,5.7,4.41666666666667,3.48333333333333,6.65,2.75,2.78333333333333,9.66666666666667,4,11,10,11,10,9,16,1.425,0.401515151515151,0.348333333333333,0.554166666666667,0.275,0.278333333333333,0.604166666666667,2.50601129139367,0.434514706659085,0.314902493237055,0.616446520901297,0.402710722387579,0.258801845166777,0.885845484394554
16h,16h,16h,16h,16h,16h,16h,2.38333333333333,3.01666666666667,7.7,2.38333333333333,6.5,5.91666666666667,4.93333333333333,10,8,15,9,13,11,18,0.238333333333333,0.377083333333333,0.513333333333333,0.264814814814815,0.5,0.537878787878788,0.274074074074074,0.300621783625411,0.357231139882272,0.430632609592498,0.403839596564139,0.317979733805649,0.389593157387073,0.366943844532024
17h,17h,17h,17h,17h,17h,17h,5.6,11.4833333333333,6.51666666666667,5.78333333333333,9.21666666666667,7.75,32.65,15,16,16,13,22,15,15,0.373333333333333,0.675490196078431,0.407291666666667,0.413095238095238,0.418939393939394,0.516666666666667,2.040625,0.329188516453839,0.882490117332507,0.24167385046794,0.533140132130757,0.267572640314958,0.384882996032457,1.9863606098144
18h,18h,18h,18h,18h,18h,18h,14.05,8.85,7.23333333333333,9.31666666666667,8.55,6.2,25.1333333333333,22,14,14,12,13,12,11,0.638636363636364,0.632142857142857,0.516666666666667,0.776388888888889,0.657692307692308,0.516666666666667,2.09444444444444,0.566769046858729,0.760720089747244,0.464325629917508,1.57411925563994,0.63470667564046,0.536355076117275,2.33632203974552
19h,19h,19h,19h,19h,19h,19h,6.31666666666667,4.4,4.61666666666667,4.28333333333333,1.65,3.93333333333333,15.25,11,13,11,11,3,10,16,0.574242424242424,0.338461538461538,0.41969696969697,0.389393939393939,0.55,0.393333333333333,0.953125,0.627577513422474,0.236426385789395,0.285658905166652,0.236909819607087,0.750740375303681,0.296918328547027,1.18350106401242
20h,20h,20h,20h,20h,20h,20h,22.1333333333333,1.63333333333333,2.41666666666667,0.5,2.06666666666667,3,19.55,7,7,7,4,7,8,14,3.16190476190476,0.233333333333333,0.345238095238095,0.125,0.295238095238095,0.375,1.30333333333333,3.20450658196585,0.161015297179883,0.399619528046074,0.05,0.247527455587943,0.38873012632302,2.21601494178677
21h,21h,21h,21h,21h,21h,21h,26.4166666666667,4.66666666666667,6.75,1.85,4.01666666666667,4.6,38.4666666666667,10,12,14,5,6,12,11,2.40151515151515,0.388888888888889,0.45,0.37,0.669444444444444,0.383333333333333,3.4969696969697,3.45894536387943,0.34460732545059,0.338355030972094,0.281217590725284,0.505900370809496,0.253161823920806,6.68991703229494
22h,22h,22h,22h,22h,22h,22h,12.4,0.95,6.85,3.23333333333333,2.26666666666667,1.65,11.3,21,5,15,8,8,11,12,0.563636363636364,0.19,0.456666666666667,0.404166666666667,0.283333333333333,0.15,0.869230769230769,0.558759878850121,0.0870823365174209,0.601743498589921,0.317698819139354,0.299205296617238,0.0945750730607407,2.21219103465075
23h,23h,23h,23h,23h,23h,23h,17.0833333333333,16.4666666666667,16.5333333333333,7.58333333333333,3.48333333333333,4.71666666666667,7.73333333333333,18,15,21,12,10,11,13,0.899122807017544,1.09777777777778,0.751515151515151,0.631944444444445,0.348333333333333,0.428787878787879,0.594871794871795,0.993986140267325,1.53839571491258,0.783188252199839,0.736818794566843,0.65661167282412,0.574509013036877,0.95353592970101
